client_id,group_id,mobile,email,ip_address,address,bank_account,device_id,occupation,declared_income,monthly_turnover,fo_premium,illiquid_trades,fund_transfer_count,login_frequency,shared_accounts,trading_pattern_score,risk_country,transaction_amount,rapid_withdrawal,suspicious_flag
C1012,G636,9958486184,user12@gmail.com,192.168.14.200,Kolkata,KOTAK686075,DEV6198,Retired,858943,10901777,643118,9,6,65,1,42,No,2214539,Yes,1
C1013,G1437,9957799499,user13@gmail.com,192.168.65.110,Coimbatore,HDFC387936,DEV8206,Salaried,4340594,3670226,134433,3,5,20,1,38,No,558136,No,0
C1014,G472,9579984033,user14@gmail.com,10.0.5.3,Delhi,HDFC973349,DEV7883,Student,1203283,10127293,324345,3,18,56,2,69,Yes,2254228,No,0
C1015,G1484,9618142807,user15@gmail.com,192.168.49.123,Chennai,ICICI557007,DEV8956,Salaried,3550766,6009888,112232,3,9,39,0,36,No,280080,No,0
C1016,G648,9777583839,user16@gmail.com,10.0.14.3,Mumbai,HDFC152727,DEV5262,Student,1704967,22922215,128276,8,23,66,0,40,No,2097732,Yes,1
C1017,G468,9944506245,user17@gmail.com,192.168.54.65,Bangalore,HDFC979995,DEV1333,SelfEmployed,1386304,5650395,665621,2,16,44,0,76,Yes,468854,Yes,0
C1018,G543,9605557720,user18@gmail.com,192.168.60.180,Hyderabad,HDFC179688,DEV4978,Salaried,1173629,10630069,220096,4,14,36,4,36,No,1608443,No,1
C1019,G1315,9864929067,user19@gmail.com,192.168.16.204,Kochi,AXIS210665,DEV8102,Trader,944512,6825112,149655,3,6,9,1,5,No,490463,No,0
C1020,G1146,9189125618,user20@gmail.com,192.168.94.134,Hyderabad,AXIS355709,DEV8613,SelfEmployed,4655871,8799287,124183,4,5,25,0,10,No,342477,No,0
C1021,G554,9195249057,user21@gmail.com,192.168.46.205,Hyderabad,KOTAK894993,DEV4937,Investor,1113742,14383781,389688,10,5,63,1,40,No,1312320,No,1
C1022,G1203,9481223755,user22@gmail.com,192.168.3.24,Hyderabad,ICICI546173,DEV6419,Trader,2458885,7784725,73780,2,10,28,1,40,No,606711,No,0
C1023,G429,9000002287,user23@gmail.com,192.168.69.244,Mumbai,ICICI338533,DEV6912,Business,801690,12260663,607719,6,23,78,4,73,No,1486982,Yes,0
C1024,G274,9000005977,user24@gmail.com,10.0.8.8,Chennai,KOTAK398151,DEV8690,Student,257174,47135291,912654,9,55,166,9,73,No,1102889,Yes,1
C1025,G327,9000001235,user25@gmail.com,10.0.2.8,Kolkata,KOTAK901577,DEV7818,SelfEmployed,1431267,7485785,156213,4,9,81,4,54,Yes,657274,Yes,0
C1026,G1090,9483736219,user26@gmail.com,192.168.57.77,Kochi,SBI264686,DEV4929,Business,4197285,6123430,25789,4,2,18,0,21,Yes,742509,No,0
C1027,G510,9637599912,user27@gmail.com,192.168.5.60,Hyderabad,KOTAK335729,DEV3441,Trader,1882593,14486454,576086,3,12,89,2,75,Yes,1129713,No,0
C1028,G85,9000001832,user28@gmail.com,10.0.17.9,Kochi,KOTAK666211,DEV9090,Student,502630,39471089,560788,19,59,108,8,100,Yes,3283766,Yes,1
C1029,G1143,9788699799,user29@gmail.com,192.168.42.155,Hyderabad,HDFC593355,DEV9502,Investor,816970,2532210,70011,4,10,6,1,7,No,850177,No,0
C1030,G886,9628492896,user30@gmail.com,192.168.56.163,Ahmedabad,AXIS827369,DEV9117,Trader,1365396,8885465,101215,3,6,25,0,15,No,395824,No,0
C1031,G1264,9039403247,user31@gmail.com,192.168.59.23,Pune,HDFC643623,DEV6927,SelfEmployed,2717275,6423634,40388,3,9,5,1,31,No,106837,No,0
C1032,G1479,9055417727,user32@gmail.com,192.168.27.69,Coimbatore,KOTAK114338,DEV7684,Salaried,1699018,5832327,124849,3,2,6,0,15,Yes,375845,No,0
C1033,G817,9495475899,user33@gmail.com,192.168.16.166,Mumbai,KOTAK251668,DEV7284,Business,4780676,5896624,143397,2,7,35,1,20,Yes,528975,No,0
C1034,G983,9829653607,user34@gmail.com,192.168.54.88,Coimbatore,KOTAK607868,DEV6654,Trader,2841206,1043037,84144,2,10,42,1,14,No,518238,No,0
C1035,G1030,9933727701,user35@gmail.com,192.168.25.252,Delhi,HDFC619389,DEV1606,Business,3812592,4918527,117682,0,6,35,1,29,No,745928,No,0
C1036,G1151,9107064620,user36@gmail.com,192.168.68.234,Ahmedabad,AXIS781403,DEV2315,Retired,728744,3418526,117473,1,2,35,1,26,No,703534,No,0
C1037,G1247,9408031980,user37@gmail.com,192.168.41.161,Ahmedabad,SBI565230,DEV3725,Investor,901143,11359250,27936,1,5,19,0,32,No,153225,No,0
C1038,G748,9348294647,user38@gmail.com,192.168.8.76,Pune,SBI739098,DEV7267,SelfEmployed,3744394,8225725,48160,1,9,31,0,15,Yes,233573,No,0
C1039,G1298,9153671484,user39@gmail.com,192.168.30.119,Hyderabad,ICICI716113,DEV5901,Investor,4455156,5283671,12463,3,5,39,0,9,No,513187,No,0
C1040,G1168,9907638182,user40@gmail.com,192.168.39.51,Kolkata,AXIS387813,DEV1132,SelfEmployed,4653443,2789344,72182,3,10,27,1,23,Yes,73005,No,0
C1041,G1464,9533356861,user41@gmail.com,192.168.37.199,Delhi,AXIS134985,DEV6977,Investor,3555482,4674286,59841,4,5,13,0,7,Yes,373939,No,0
C1042,G152,9000001133,user42@gmail.com,10.0.12.8,Mumbai,ICICI964749,DEV8894,Retired,410548,18869093,1431220,16,48,134,6,96,No,2380298,Yes,1
C1043,G1047,9863538119,user43@gmail.com,192.168.15.120,Bangalore,KOTAK229592,DEV8451,Trader,1780755,4785186,114179,4,6,10,1,5,No,327304,No,0
C1044,G1354,9398866784,user44@gmail.com,192.168.14.173,Delhi,AXIS222343,DEV3290,Salaried,4555034,1419843,95984,4,4,9,1,24,Yes,730776,No,0
C1045,G553,9000006304,user45@gmail.com,192.168.18.100,Ahmedabad,ICICI327823,DEV8264,Student,1178067,23125852,539486,4,18,71,0,66,Yes,2011762,No,0
C1046,G802,9736243579,user46@gmail.com,192.168.48.140,Pune,KOTAK122394,DEV1828,Retired,1107930,7679674,82320,1,2,34,0,18,No,722875,No,0
C1047,G365,9220337809,user47@gmail.com,10.0.16.7,Delhi,KOTAK362829,DEV3858,Salaried,1629734,12246124,344316,7,9,80,4,35,Yes,1462974,Yes,0
C1048,G184,9000006252,user48@gmail.com,10.0.17.7,Pune,SBI599380,DEV8344,Retired,216547,21693464,856516,6,23,164,8,86,No,1953359,Yes,1
C1049,G812,9485337126,user49@gmail.com,192.168.65.57,Kochi,SBI614084,DEV8267,Salaried,963772,9748499,89070,3,1,8,1,30,Yes,496980,No,0
C1050,G376,9000002927,user50@gmail.com,192.168.75.141,Pune,AXIS339592,DEV7779,Trader,1198814,22802533,409222,9,21,68,3,41,No,779887,Yes,1
C1051,G1448,9102097643,user51@gmail.com,192.168.41.110,Pune,SBI880758,DEV7105,Retired,2738170,7279729,50013,3,2,10,0,10,Yes,502855,No,0
C1052,G1301,9602998820,user52@gmail.com,192.168.72.85,Bangalore,KOTAK632060,DEV4485,Business,4046112,6932391,120870,0,5,43,1,27,No,158633,No,0
C1053,G356,9597285504,user53@gmail.com,192.168.36.147,Delhi,ICICI468074,DEV1100,Business,1299913,23822885,683783,2,24,89,2,36,Yes,1056719,No,1
C1054,G1111,9074716780,user54@gmail.com,192.168.19.190,Chennai,ICICI856648,DEV6314,Retired,1369719,9900022,66395,3,7,34,1,15,Yes,438028,No,0
C1055,G860,9169017588,user55@gmail.com,192.168.97.159,Chennai,HDFC891615,DEV9394,Salaried,1284355,5565128,126159,3,8,43,1,31,No,336436,No,0
C1056,G991,9728230915,user56@gmail.com,192.168.87.152,Ahmedabad,HDFC904624,DEV3248,Retired,3187209,1761976,67807,3,10,8,0,18,No,366061,No,0
C1057,G362,9000001545,user57@gmail.com,10.0.11.8,Coimbatore,SBI428267,DEV8033,SelfEmployed,1875705,12721234,624563,10,16,34,3,37,No,2129637,Yes,1
C1058,G1128,9310864588,user58@gmail.com,192.168.15.104,Chennai,KOTAK519902,DEV9584,Salaried,3324352,3883553,130611,2,2,32,0,20,No,506839,No,0
C1059,G1464,9364549612,user59@gmail.com,192.168.29.86,Mumbai,HDFC347745,DEV2684,Business,1240716,9564488,39891,4,9,17,1,27,No,812712,No,0
C1060,G609,9000001584,user60@gmail.com,10.0.18.8,Ahmedabad,ICICI935012,DEV5500,SelfEmployed,1372980,23915823,570711,7,25,50,1,63,Yes,586413,No,1
C1061,G776,9333297890,user61@gmail.com,192.168.60.116,Chennai,KOTAK930281,DEV1672,Student,1077228,7186390,85255,0,2,44,1,34,Yes,658519,No,0
C1062,G544,9066436383,user62@gmail.com,192.168.44.252,Bangalore,ICICI506235,DEV7697,Retired,1458115,10790116,141043,5,19,58,4,68,No,965829,No,1
C1063,G754,9847425963,user63@gmail.com,192.168.81.166,Pune,SBI711046,DEV3317,Trader,1152908,6531293,34774,4,7,23,1,14,No,399555,No,0
C1064,G1416,9710962214,user64@gmail.com,192.168.51.34,Kochi,ICICI119116,DEV6940,Trader,1310674,6193922,108744,2,3,38,0,32,Yes,583188,No,0
C1065,G1050,9822653967,user65@gmail.com,192.168.63.50,Delhi,KOTAK237414,DEV7172,Business,1753981,3599548,30228,2,2,37,0,26,Yes,853531,No,0
C1066,G655,9868704078,user66@gmail.com,192.168.57.12,Kolkata,ICICI811256,DEV8218,Student,1163991,12970190,565776,6,19,44,4,50,No,1598002,No,0
C1067,G1215,9566355637,user67@gmail.com,192.168.54.248,Mumbai,KOTAK992512,DEV3042,Trader,2275185,11144569,46280,2,1,35,1,40,Yes,157573,No,0
C1068,G980,9482452834,user68@gmail.com,192.168.66.38,Kolkata,ICICI347231,DEV7326,Salaried,1369349,4725179,128260,2,1,31,0,30,No,576392,No,0
C1069,G464,9901058675,user69@gmail.com,192.168.43.203,Mumbai,ICICI326130,DEV3449,SelfEmployed,688567,6285241,400814,9,9,78,3,63,No,322025,Yes,0
C1070,G148,9000006252,user70@gmail.com,10.0.9.6,Bangalore,KOTAK662093,DEV1269,Investor,250068,26001404,1180437,25,54,128,3,73,Yes,5192871,Yes,1
C1071,G999,9460891752,user71@gmail.com,192.168.1.158,Pune,KOTAK631971,DEV9316,SelfEmployed,2617999,10574148,119200,1,2,38,1,9,Yes,601613,No,0
C1072,G1182,9046744734,user72@gmail.com,192.168.82.100,Pune,SBI469412,DEV9945,Trader,2727772,1272499,103610,0,6,20,0,26,Yes,189890,No,0
C1073,G1402,9498885034,user73@gmail.com,192.168.90.123,Mumbai,ICICI425138,DEV9444,Student,1731225,2058651,129977,0,5,17,0,17,No,93941,No,0
C1074,G686,9307209235,user74@gmail.com,192.168.7.222,Pune,AXIS485191,DEV9507,Trader,972976,9176688,485896,8,17,77,3,59,Yes,1722022,Yes,1
C1075,G781,9462360908,user75@gmail.com,192.168.78.255,Mumbai,AXIS274739,DEV8272,Trader,3064291,6389033,36895,0,6,23,1,33,No,681894,No,0
C1076,G181,9000007062,user76@gmail.com,10.0.8.8,Chennai,HDFC989894,DEV8179,Salaried,278686,55042388,1636960,17,38,135,4,100,Yes,1261226,Yes,1
C1077,G188,9000008479,user77@gmail.com,10.0.11.9,Kochi,KOTAK244383,DEV9674,Trader,233958,50607226,621783,19,38,117,9,94,No,1644961,Yes,1
C1078,G443,9000001307,user78@gmail.com,10.0.6.3,Ahmedabad,AXIS309902,DEV3009,Business,1485790,17985141,688956,3,13,79,2,80,Yes,2171805,Yes,1
C1079,G1431,9477934499,user79@gmail.com,192.168.12.208,Pune,HDFC227257,DEV4292,Retired,3514414,2089496,86116,2,3,45,0,28,Yes,583469,No,0
C1080,G553,9000008238,user80@gmail.com,192.168.60.206,Coimbatore,HDFC432427,DEV2215,Student,672149,7892911,168941,6,17,75,3,68,No,2022999,No,0
C1081,G1053,9137798236,user81@gmail.com,192.168.100.142,Kochi,HDFC438334,DEV4694,Trader,2126417,3164813,123408,4,1,12,0,24,No,222655,No,0
C1082,G957,9210777576,user82@gmail.com,192.168.82.245,Coimbatore,KOTAK855638,DEV6531,Retired,2902262,3100009,89383,4,9,10,0,14,Yes,229516,No,0
C1083,G730,9087212377,user83@gmail.com,192.168.6.243,Kochi,KOTAK403742,DEV5949,Student,2820094,11924148,65262,4,7,44,0,36,Yes,707629,No,0
C1084,G1402,9436038528,user84@gmail.com,192.168.39.117,Bangalore,HDFC427766,DEV6231,Investor,1102586,3652149,125239,3,8,34,0,26,No,686129,No,0
C1085,G834,9816757816,user85@gmail.com,192.168.48.132,Coimbatore,SBI153063,DEV5754,Student,1490735,6353876,73370,3,2,22,1,20,No,197720,No,0
C1086,G382,9620286733,user86@gmail.com,192.168.25.196,Mumbai,HDFC711680,DEV6781,Salaried,1444938,22271299,589491,9,14,61,0,40,Yes,1949377,No,0
C1087,G606,9702506364,user87@gmail.com,192.168.37.138,Chennai,KOTAK689107,DEV4189,Trader,625437,19459536,240440,6,16,78,3,58,No,489760,No,0
C1088,G259,9000006596,user88@gmail.com,10.0.16.6,Hyderabad,HDFC308727,DEV9341,Student,324582,18634453,502755,17,38,171,7,87,Yes,4066928,Yes,1
C1089,G71,9000002103,user89@gmail.com,10.0.14.5,Coimbatore,KOTAK875232,DEV5902,SelfEmployed,679187,19995238,1571420,21,23,111,7,75,No,4296341,Yes,1
C1090,G1222,9571595541,user90@gmail.com,192.168.63.182,Kochi,SBI725905,DEV8775,Trader,3114825,8967375,14361,2,6,12,1,24,Yes,885457,No,0
C1091,G1298,9515877957,user91@gmail.com,192.168.22.135,Kochi,ICICI539122,DEV3481,Student,3789267,3479264,73490,0,10,12,0,6,Yes,512462,No,0
C1092,G1494,9656569565,user92@gmail.com,192.168.61.224,Chennai,AXIS659024,DEV6608,SelfEmployed,1758319,9702060,64353,4,6,35,1,25,No,231594,No,0
C1093,G1439,9730945329,user93@gmail.com,192.168.83.206,Hyderabad,ICICI839142,DEV4396,Investor,4661597,4225657,74623,2,9,24,0,24,No,858634,No,0
C1094,G479,9854059995,user94@gmail.com,192.168.37.32,Kochi,ICICI563864,DEV5201,Investor,1818979,23226461,498138,8,16,79,1,53,No,476439,No,0
C1095,G576,9000008320,user95@gmail.com,192.168.18.28,Kochi,AXIS446337,DEV8739,Salaried,1953760,24690764,350905,5,6,72,4,49,Yes,1276587,Yes,0
C1096,G282,9000003598,user96@gmail.com,10.0.12.6,Ahmedabad,KOTAK343500,DEV9767,Investor,700641,53656912,718289,14,35,106,2,99,Yes,1750450,Yes,1
C1097,G880,9448700579,user97@gmail.com,192.168.23.240,Chennai,ICICI576419,DEV9901,SelfEmployed,3930231,9311162,58840,2,1,5,1,11,No,401317,No,0
C1098,G838,9913818435,user98@gmail.com,192.168.65.120,Hyderabad,ICICI929179,DEV5833,SelfEmployed,2217419,2889899,96686,1,8,21,0,5,Yes,822399,No,0
C1099,G628,9887973565,user99@gmail.com,192.168.42.23,Kolkata,AXIS890371,DEV5374,Trader,1803531,8200593,293757,4,20,50,1,35,No,1393812,No,0
C1100,G1287,9012279027,user100@gmail.com,192.168.34.168,Pune,ICICI823821,DEV2923,Investor,2582249,2042273,40991,3,5,15,1,37,No,787733,No,0
C1101,G927,9235287540,user101@gmail.com,192.168.18.123,Mumbai,KOTAK925618,DEV2341,SelfEmployed,4416637,11162613,107943,3,9,35,0,20,No,763390,No,0
C1102,G1071,9083862154,user102@gmail.com,192.168.73.29,Chennai,HDFC851742,DEV9008,Salaried,4840332,4391627,49282,1,6,38,1,12,No,763341,No,0
C1103,G1165,9141674152,user103@gmail.com,192.168.66.107,Ahmedabad,HDFC706403,DEV2196,Salaried,1084331,10375061,131209,2,1,30,1,5,No,832032,No,0
C1104,G333,9064698991,user104@gmail.com,192.168.9.253,Ahmedabad,AXIS184148,DEV9835,Business,466552,14633165,528728,4,9,79,3,58,No,1904235,No,1
C1105,G276,9000003750,user105@gmail.com,10.0.16.1,Mumbai,AXIS963355,DEV4762,Business,433507,10233088,347679,14,44,156,10,83,No,5462182,Yes,1
C1106,G442,9000004741,user106@gmail.com,10.0.19.8,Kolkata,SBI521805,DEV8191,Business,1689587,5524985,352356,5,7,36,4,37,Yes,2172509,Yes,0
C1107,G1495,9060606325,user107@gmail.com,192.168.18.129,Hyderabad,KOTAK331780,DEV7775,Trader,2564289,10665527,93598,4,10,25,0,24,No,200219,No,0
C1108,G90,9000006669,user108@gmail.com,10.0.16.8,Ahmedabad,ICICI494747,DEV4012,Retired,249161,33113287,1649131,17,48,110,8,83,No,2251728,Yes,1
C1109,G416,9759754807,user109@gmail.com,10.0.14.2,Chennai,SBI571635,DEV7079,Salaried,1579408,18847158,536740,10,21,38,3,50,Yes,1369529,Yes,1
C1110,G194,9000003257,user110@gmail.com,10.0.3.1,Delhi,SBI883159,DEV8846,Business,785997,24563732,1305362,11,36,108,2,76,Yes,2594034,Yes,1
C1111,G946,9592790631,user111@gmail.com,192.168.42.199,Hyderabad,AXIS203398,DEV8692,Retired,3793222,8822384,149893,2,5,21,1,37,No,571433,No,0
C1112,G1080,9335997460,user112@gmail.com,192.168.53.12,Kochi,HDFC445888,DEV4768,Student,2456181,3448176,14251,2,9,42,1,23,Yes,209814,No,0
C1113,G1371,9735348453,user113@gmail.com,192.168.44.66,Ahmedabad,SBI649395,DEV1554,Retired,4715414,8731427,54101,2,3,13,1,16,Yes,618471,No,0
C1114,G1385,9052091933,user114@gmail.com,192.168.98.2,Kolkata,ICICI163386,DEV8916,Investor,1753362,11581417,70668,0,3,5,0,37,No,528160,No,0
C1115,G273,9000007811,user115@gmail.com,10.0.12.7,Chennai,HDFC212214,DEV2578,SelfEmployed,217538,45528616,876173,22,33,72,10,96,Yes,4611909,Yes,1
C1116,G618,9875329786,user116@gmail.com,192.168.51.21,Pune,AXIS495490,DEV8798,Salaried,1251501,20401408,692447,5,12,49,0,76,Yes,432894,Yes,1
C1117,G785,9536718857,user117@gmail.com,192.168.56.166,Pune,SBI817675,DEV5593,SelfEmployed,1399953,9861040,21154,1,4,41,1,22,Yes,98823,No,0
C1118,G462,9000006543,user118@gmail.com,192.168.51.238,Bangalore,SBI625119,DEV6666,Salaried,1027629,10450925,691353,5,23,83,3,78,Yes,1691375,No,0
C1119,G778,9365708674,user119@gmail.com,192.168.78.197,Kochi,AXIS552825,DEV4043,Investor,3927786,6475691,17766,2,8,36,0,27,No,629902,No,0
C1120,G152,9000009064,user120@gmail.com,10.0.3.1,Bangalore,SBI195966,DEV1085,Trader,480989,20349593,1096917,25,24,164,8,80,No,4025772,Yes,1
C1121,G977,9109770151,user121@gmail.com,192.168.17.23,Mumbai,SBI725920,DEV6315,Retired,4215318,8530347,144333,3,2,6,0,27,No,631141,No,0
C1122,G212,9000000117,user122@gmail.com,10.0.3.4,Coimbatore,ICICI381444,DEV9079,Business,454533,48383614,1392835,10,58,118,4,74,Yes,3255855,Yes,1
C1123,G442,9519939412,user123@gmail.com,192.168.47.65,Delhi,ICICI561607,DEV6484,Student,1911835,21636369,305047,9,8,38,2,35,Yes,1959652,No,1
C1124,G609,9215662642,user124@gmail.com,192.168.23.247,Kolkata,KOTAK672133,DEV3947,Investor,1069280,14779377,614858,5,15,54,2,60,Yes,1830986,Yes,0
C1125,G1173,9760603328,user125@gmail.com,192.168.27.113,Hyderabad,AXIS927406,DEV7176,Salaried,1180144,7864256,140889,1,5,20,1,14,No,799979,No,0
C1126,G1191,9625179752,user126@gmail.com,192.168.52.137,Coimbatore,HDFC789545,DEV6816,Business,4108960,10120853,19637,2,9,43,0,11,Yes,856306,No,0
C1127,G1361,9727429909,user127@gmail.com,192.168.83.103,Pune,AXIS585556,DEV9199,Business,4210922,2777454,12765,0,5,19,0,33,No,442292,No,0
C1128,G1195,9112259020,user128@gmail.com,192.168.38.107,Bangalore,ICICI599292,DEV2599,Student,1573660,3376915,101312,2,6,34,0,38,No,556384,No,0
C1129,G454,9000001307,user129@gmail.com,10.0.10.7,Bangalore,AXIS760351,DEV4022,Business,1820064,10514808,355761,10,10,65,1,56,No,2088322,No,0
C1130,G1456,9659392301,user130@gmail.com,192.168.26.116,Kochi,KOTAK296041,DEV6993,Trader,4203350,7523581,11166,1,4,22,0,11,Yes,888338,No,0
C1131,G969,9720160169,user131@gmail.com,192.168.63.136,Pune,HDFC953266,DEV5873,SelfEmployed,3860142,11256053,112903,4,2,27,1,34,Yes,697351,No,0
C1132,G1021,9126552991,user132@gmail.com,192.168.31.79,Bangalore,HDFC610310,DEV9804,Investor,2135488,7263036,47056,4,7,31,0,29,Yes,493588,No,0
C1133,G1202,9310133983,user133@gmail.com,192.168.18.48,Pune,KOTAK629990,DEV9109,Student,4383270,11391975,24053,2,1,36,0,17,No,452594,No,0
C1134,G1155,9524737111,user134@gmail.com,192.168.22.22,Kochi,AXIS693127,DEV9115,SelfEmployed,858878,4699871,86569,0,5,19,1,15,Yes,868665,No,0
C1135,G975,9832271276,user135@gmail.com,192.168.70.211,Pune,ICICI465509,DEV2425,Student,949054,8404902,67289,3,2,20,1,7,Yes,521578,No,0
C1136,G943,9225354965,user136@gmail.com,192.168.95.151,Pune,KOTAK664939,DEV3758,Trader,4191725,3784709,46499,1,4,8,1,39,No,344739,No,0
C1137,G437,9552348887,user137@gmail.com,192.168.13.35,Kolkata,KOTAK763121,DEV5402,Investor,524331,14305433,233051,4,12,39,2,50,No,1947106,No,0
C1138,G778,9680352629,user138@gmail.com,192.168.99.24,Kolkata,AXIS765678,DEV6869,Retired,4925279,5667852,106749,3,8,25,0,10,Yes,816437,No,0
C1139,G1108,9233893106,user139@gmail.com,192.168.55.212,Delhi,ICICI815707,DEV1793,Salaried,4749969,5505300,94637,2,6,40,0,36,Yes,876596,No,0
C1140,G1171,9017481970,user140@gmail.com,192.168.16.238,Mumbai,SBI786385,DEV6905,Trader,4301774,8659103,10177,3,4,13,1,15,Yes,337330,No,0
C1141,G1365,9177731206,user141@gmail.com,192.168.7.102,Hyderabad,KOTAK337178,DEV9510,Investor,2564140,8201300,33907,0,1,18,1,9,No,189145,No,0
C1142,G176,9000006227,user142@gmail.com,10.0.13.1,Mumbai,ICICI413791,DEV3246,Student,700905,14753207,780136,17,20,163,3,73,Yes,3628582,Yes,1
C1143,G1394,9153387313,user143@gmail.com,192.168.9.136,Kochi,AXIS327797,DEV2420,Salaried,671091,11239457,53022,3,6,18,0,31,Yes,696002,No,0
C1144,G1304,9783841357,user144@gmail.com,192.168.50.90,Kolkata,ICICI315425,DEV9482,SelfEmployed,3238247,3345961,74955,2,2,20,1,6,Yes,740388,No,0
C1145,G1003,9693819512,user145@gmail.com,192.168.7.201,Delhi,ICICI431845,DEV3162,Student,4751419,7474085,39555,1,8,45,0,38,No,62653,No,0
C1146,G1400,9185510711,user146@gmail.com,192.168.98.121,Bangalore,AXIS631219,DEV5693,Investor,740000,10854324,27703,0,5,18,0,8,No,877630,No,0
C1147,G1112,9088506190,user147@gmail.com,192.168.82.138,Coimbatore,ICICI509711,DEV2083,Trader,1880776,5655136,31914,2,2,37,0,14,No,612445,No,0
C1148,G945,9062176039,user148@gmail.com,192.168.32.23,Kolkata,SBI271790,DEV9133,Trader,1572965,8606317,24425,2,3,12,0,13,No,785575,No,0
C1149,G365,9937870599,user149@gmail.com,10.0.4.4,Chennai,KOTAK477617,DEV1908,Student,1102569,19405742,385192,10,7,46,4,75,Yes,623255,No,1
C1150,G962,9830355646,user150@gmail.com,192.168.14.229,Kochi,ICICI501583,DEV3458,Business,1567488,4831990,143385,0,1,5,0,7,Yes,544681,No,0
C1151,G1432,9795283876,user151@gmail.com,192.168.84.108,Delhi,SBI288056,DEV4656,Retired,3299470,5165165,119119,2,5,9,1,12,Yes,576428,No,0
C1152,G771,9941662173,user152@gmail.com,192.168.60.222,Hyderabad,KOTAK922615,DEV5979,Investor,3206321,6491198,32645,4,8,5,1,17,Yes,355759,No,0
C1153,G1306,9529741991,user153@gmail.com,192.168.99.199,Delhi,SBI895794,DEV7164,Retired,2656273,3526084,11671,3,1,19,1,5,No,401291,No,0
C1154,G272,9000006252,user154@gmail.com,10.0.12.9,Ahmedabad,AXIS834891,DEV7102,Student,262804,19554522,1792443,13,20,75,5,98,Yes,5360056,Yes,1
C1155,G1218,9143359401,user155@gmail.com,192.168.82.210,Kolkata,AXIS834764,DEV6345,Trader,1227723,10930363,26327,3,3,20,1,21,No,380310,No,0
C1156,G339,9146148980,user156@gmail.com,192.168.75.28,Mumbai,ICICI585854,DEV5341,Retired,621580,10515509,571404,9,15,56,0,69,Yes,1802766,Yes,1
C1157,G156,9000003257,user157@gmail.com,10.0.7.2,Pune,ICICI959926,DEV3848,Salaried,355528,16121194,1791405,12,37,120,10,71,No,3506857,Yes,1
C1158,G1270,9803243119,user158@gmail.com,192.168.71.64,Bangalore,AXIS490321,DEV2376,SelfEmployed,4475899,2709721,46645,0,1,8,0,13,No,257757,No,0
C1159,G777,9023407763,user159@gmail.com,192.168.9.51,Ahmedabad,AXIS961599,DEV7471,Student,1680381,2543145,96913,0,1,34,0,15,Yes,651761,No,0
C1160,G1137,9185550328,user160@gmail.com,192.168.46.55,Mumbai,AXIS677438,DEV8848,Salaried,2906714,5695180,126919,1,1,44,0,23,Yes,573125,No,0
C1161,G371,9690042893,user161@gmail.com,192.168.68.64,Coimbatore,ICICI288550,DEV1427,Trader,440957,17834505,476556,9,22,80,3,57,Yes,2407190,No,1
C1162,G144,9000006924,user162@gmail.com,10.0.14.4,Coimbatore,SBI901164,DEV4594,SelfEmployed,574795,49190832,788137,10,21,101,5,78,No,5476912,Yes,1
